INDICE;PERIODO;FECHA;DIVIDENDO;IND_ACT;IND_VAR;IND_RENT_7DIAS;IND_RENT_30DIAS;IND_RENT_52SEM;IND_RENT_ANO_AC;NUM_ACC_COM
SP IPSA;DI;2024-08-20 04:00:00;N;3517.82161702;0.50000000;1.90000000;-1.07000000;1.65000000;1.45000000;29
SP IPSA;DI;2024-08-21 04:00:00;N;3520.19914800;0.07000000;1.41000000;-1.00000000;1.92000000;1.52000000;29
SP IPSA;DI;2024-08-22 04:00:00;N;3509.88125266;-0.29000000;1.11000000;-1.92000000;1.03000000;1.22000000;29
SP IPSA;DI;2024-08-23 04:00:00;N;3502.75520466;-0.20000000;0.09000000;-1.38000000;0.32000000;1.02000000;29
SP IPSA;DI;2024-08-26 04:00:00;N;3491.34482259;-0.33000000;-0.26000000;0.12000000;2.36000000;0.69000000;29
SP IPSA;DI;2024-08-27 04:00:00;N;3457.35013755;-0.97000000;-1.72000000;-0.85000000;1.36000000;-0.29000000;29
SP IPSA;DI;2024-08-28 04:00:00;N;3460.63372298;0.09000000;-1.69000000;-0.76000000;1.74000000;-0.20000000;29
SP IPSA;DI;2024-08-29 04:00:00;N;3494.64578098;0.98000000;-0.43000000;-0.62000000;2.24000000;0.78000000;29
SP IPSA;DI;2024-08-30 04:00:00;N;3500.97497950;0.18000000;-0.05000000;0.27000000;3.29000000;0.78000000;29
SP IPSA;DI;2024-09-02 04:00:00;N;3498.79873304;-0.06000000;0.21000000;2.19000000;3.44000000;0.90000000;29
SP IPSA;DI;2024-09-03 04:00:00;N;3461.37113420;-1.07000000;0.12000000;1.10000000;2.33000000;-0.18000000;29
SP IPSA;DI;2024-09-04 04:00:00;N;3462.38112272;0.03000000;0.05000000;1.13000000;2.50000000;-0.15000000;29
SP IPSA;DI;2024-09-05 04:00:00;N;3447.50503725;-0.43000000;-1.35000000;4.27000000;3.13000000;-0.58000000;29
SP IPSA;DI;2024-09-06 04:00:00;N;3384.54636685;-1.83000000;-3.33000000;0.81000000;1.98000000;-0.58000000;29
SP IPSA;DI;2024-09-09 03:00:00;N;3377.33263291;-0.21000000;-3.47000000;-1.41000000;2.05000000;-2.60000000;29
SP IPSA;DI;2024-09-10 03:00:00;N;3367.98521534;-0.28000000;-2.70000000;-1.68000000;1.76000000;-2.87000000;29
SP IPSA;DI;2024-09-11 03:00:00;N;3414.98009588;1.40000000;-1.37000000;-0.31000000;3.00000000;-1.52000000;29
SP IPSA;DI;2024-09-12 03:00:00;N;3437.51431115;0.66000000;-0.29000000;0.27000000;3.55000000;-0.87000000;29
SP IPSA;DI;2024-09-13 03:00:00;N;3441.93316795;0.13000000;1.70000000;-0.29000000;3.18000000;-0.74000000;29
SP IPSA;DI;2024-09-16 03:00:00;N;3439.49275304;-0.07000000;1.84000000;-1.72000000;1.61000000;-0.81000000;29
SP IPSA;DI;2024-09-17 03:00:00;N;3432.09677763;-0.22000000;1.90000000;-1.93000000;1.39000000;-1.02000000;29
SP IPSA;DI;2024-09-23 03:00:00;N;3452.92607991;0.61000000;0.39000000;-1.42000000;4.99000000;-0.42000000;28
